"ENTITY","PATHWAY"
"MGI:96416","TRYPTOPHAN-DEGRADATION-1"
"MGI:2448704","TRYPTOPHAN-DEGRADATION-1"
"MGI:2138151","TRYPTOPHAN-DEGRADATION-1"
"MGI:1918039","TRYPTOPHAN-DEGRADATION-1"
"MGI:1349444","TRYPTOPHAN-DEGRADATION-1"
"MGI:87870","TRYPTOPHAN-DEGRADATION-1"
"MGI:87871","TRYPTOPHAN-DEGRADATION-1"
"MGI:1333871","TRYPTOPHAN-DEGRADATION-1"
"MGI:105089","TRYPTOPHAN-DEGRADATION-1"
"MGI:1277964","TRYPTOPHAN-DEGRADATION-1"
"MGI:96009","TRYPTOPHAN-DEGRADATION-1"
"MGI:2136460","TRYPTOPHAN-DEGRADATION-1"
"MGI:97402","PWY-46"
"MGI:1858170","PWY-46"
"MGI:109492","PWY-46"
"MGI:109433","PWY-46"
"MGI:1859169","PWY-46"
"MGI:2442093","PWY-46"
"MGI:89564","PWY-46"
"MGI:106428","PWY-901"
"MGI:1919391","P341-PWY"
"MGI:95797","P341-PWY"
"MGI:87995","P341-PWY"
"MGI:87994","P341-PWY"
"MGI:101863","P341-PWY"
"MGI:1931052","P341-PWY"
"MGI:2447811","P341-PWY"
"MGI:98797","P341-PWY"
"MGI:1933118","P341-PWY"
"MGI:97552","P341-PWY"
"MGI:97604","P341-PWY"
"MGI:97591","P341-PWY"
"MGI:95730","PWY-6317"
"MGI:1917226","PWY-6317"
"MGI:95638","PWY-6317"
"MGI:1921496","PWY-6317"
"MGI:2442420","PWY-6317"
"MGI:2158201","PWY-5148"
"MGI:1917275","PWY-5148"
"MGI:1349396","PWY-5148"
"MGI:2159605","PWY-5148"
"MGI:2159619","PWY-5148"
"MGI:2159621","PWY-5148"
"MGI:2384969","PWY-5148"
"MGI:1921287","PWY-5148"
"MGI:1928940","PWY-5148"
"MGI:1928939","PWY-5148"
"MGI:2139018","PWY-5148"
"MGI:95791","HYDROXYPRODEG-PWY"
"MGI:1923865","HYDROXYPRODEG-PWY"
"MGI:1929093","HYDROXYPRODEG-PWY"
"MGI:97770","HYDROXYPRODEG-PWY"
"MGI:1351664","PWY-5669"
"MGI:1276575","PWY-5669"
"MGI:2445114","PWY-5669"
"MGI:1914026","PWY-5669"
"MGI:3612472","PWY-5669"
"MGI:98796","PWY3DJ-5"
"MGI:2651811","PWY3DJ-5"
"MGI:94876","PWY3DJ-5"
"MGI:1328365","PWY3DJ-5"
"MGI:96090","PWY3DJ-5"
"MGI:102690","BSUBPOLYAMSYN-PWY"
"MGI:1333111","BSUBPOLYAMSYN-PWY"
"MGI:88004","BSUBPOLYAMSYN-PWY"
"MGI:102501","PWY-3781"
"MGI:1913695","PWY-3781"
"MGI:1913844","PWY-3781"
"MGI:1913402","PWY-3781"
"MGI:1914780","PWY-3781"
"MGI:107876","PWY-3781"
