"ENTITY","PATHWAY"
"mmu:15356","M00036"
"mmu:208982","M00036"
"mmu:21990","M00037"
"mmu:216343","M00037"
"mmu:13195","M00037"
"mmu:11298","M00037"
"mmu:107626","M00037"
"mmu:56720","M00038"
"mmu:15930","M00038"
"mmu:209176","M00038"
"mmu:71562","M00038"
"mmu:98256","M00038"
"mmu:70789","M00038"
"mmu:107766","M00038"
"mmu:266645","M00038"
"mmu:237320","M00038"
"mmu:22173","M00042"
"mmu:21823","M00042"
"mmu:13195","M00042"
"mmu:13166","M00042"
"mmu:18948","M00042"
"mmu:22018","M00043"
"mmu:234724","M00044"
"mmu:14204","M00044"
"mmu:100470","M00044"
"mmu:100328588","M00044"
"mmu:73988","M00044"
"mmu:15445","M00044"
"mmu:15233","M00044"
"mmu:14874","M00044"
"mmu:14085","M00044"
"mmu:15109","M00045"
"mmu:243537","M00045"
"mmu:71761","M00045"
"mmu:14317","M00045"
"mmu:99586","M00046"
"mmu:64705","M00046"
"mmu:103149","M00046"
"mmu:67092","M00047"
"mmu:14431","M00047"
"mmu:12716","M00047"
"mmu:12709","M00047"
"mmu:12715","M00047"
"mmu:76722","M00047"
"mmu:231327","M00048"
"mmu:14450","M00048"
"mmu:14450","M00048"
"mmu:237823","M00048"
"mmu:14450","M00048"
"mmu:67054","M00048"
"mmu:67054","M00048"
"mmu:11564","M00048"
"mmu:108147","M00048"
"mmu:11565","M00049"
"mmu:11566","M00049"
"mmu:11564","M00049"
"mmu:11637","M00049"
"mmu:11639","M00049"
"mmu:11636","M00049"
"mmu:229949","M00049"
"mmu:78801","M00049"
"mmu:68870","M00049"
"mmu:102216272","M00049"
"mmu:633979","M00049"
"mmu:56248","M00049"
"mmu:54369","M00049"
"mmu:18103","M00049"
"mmu:56520","M00049"
"mmu:79059","M00049"
"mmu:171567","M00049"
"mmu:18102","M00049"
"mmu:18746","M00049"
"mmu:18770","M00049"
"mmu:23917","M00050"
"mmu:23918","M00050"
"mmu:229363","M00050"
"mmu:14923","M00050"
"mmu:54369","M00050"
"mmu:18103","M00050"
"mmu:56520","M00050"
"mmu:79059","M00050"
"mmu:171567","M00050"
"mmu:18102","M00050"
"mmu:633979","M00050"
"mmu:18746","M00050"
"mmu:18770","M00050"
"mmu:69719","M00051"
"mmu:56749","M00051"
"mmu:22247","M00051"
"mmu:66588","M00052"
"mmu:22169","M00052"
"mmu:54369","M00052"
"mmu:18103","M00052"
"mmu:56520","M00052"
"mmu:79059","M00052"
"mmu:171567","M00052"
"mmu:18102","M00052"
"mmu:633979","M00052"
"mmu:51797","M00052"
"mmu:55936","M00052"
"mmu:20133","M00053"
"mmu:382985","M00053"
"mmu:20135","M00053"
"mmu:54369","M00053"
"mmu:18103","M00053"
"mmu:56520","M00053"
"mmu:79059","M00053"
"mmu:171567","M00053"
"mmu:18102","M00053"
"mmu:633979","M00053"
"mmu:110074","M00053"
"mmu:22171","M00053"
"mmu:21915","M00053"
"mmu:54369","M00053"
"mmu:18103","M00053"
"mmu:56520","M00053"
"mmu:79059","M00053"
"mmu:171567","M00053"
"mmu:18102","M00053"
"mmu:13478","M00055"
"mmu:320302","M00055"
"mmu:67574","M00055"
"mmu:66789","M00055"
"mmu:208211","M00055"
"mmu:56737","M00055"
"mmu:207958","M00055"
"mmu:208624","M00055"
"mmu:102580","M00055"
"mmu:223774","M00055"
"mmu:102580","M00055"
"mmu:66248","M00055"
"mmu:320438","M00055"
"mmu:381903","M00055"
"mmu:380959","M00055"
"mmu:14423","M00056"
"mmu:171212","M00056"
"mmu:108760","M00056"
"mmu:207839","M00056"
"mmu:108150","M00056"
"mmu:241391","M00056"
"mmu:212996","M00056"
"mmu:230145","M00056"
"mmu:271786","M00056"
"mmu:108148","M00056"
"mmu:14426","M00056"
"mmu:233733","M00056"
"mmu:71685","M00056"
"mmu:67909","M00056"
"mmu:14425","M00056"
"mmu:231050","M00056"
"mmu:78754","M00056"
"mmu:270049","M00056"
"mmu:94192","M00056"
"mmu:59048","M00056"
"mmu:14537","M00056"
"mmu:72077","M00056"
"mmu:218476","M00056"
"mmu:272411","M00056"
"mmu:233781","M00057"
"mmu:217119","M00057"
"mmu:218271","M00057"
"mmu:117592","M00057"
"mmu:72727","M00057"
"mmu:78752","M00058"
"mmu:234356","M00058"
"mmu:269941","M00058"
"mmu:78923","M00058"
"mmu:74241","M00058"
"mmu:100910","M00058"
"mmu:58193","M00059"
"mmu:54616","M00059"
"mmu:14042","M00059"
"mmu:14043","M00059"
"mmu:56219","M00059"
"mmu:54616","M00059"
"mmu:15531","M00059"
"mmu:17423","M00059"
"mmu:83398","M00059"
"mmu:64580","M00059"
"mmu:93683","M00059"
"mmu:18700","M00065"
"mmu:67292","M00065"
"mmu:110417","M00065"
"mmu:56176","M00065"
"mmu:14755","M00065"
"mmu:66268","M00065"
"mmu:13481","M00065"
"mmu:327942","M00065"
"mmu:70325","M00065"
"mmu:67556","M00065"
"mmu:72084","M00065"
"mmu:230801","M00065"
"mmu:27392","M00065"
"mmu:55981","M00065"
"mmu:56703","M00065"
"mmu:18701","M00065"
"mmu:22234","M00066"
"mmu:56386","M00066"
