"ENTITY","PATHWAY"
"mmu:394432","map00053"
"mmu:394433","map00053"
"mmu:394434","map00053"
"mmu:394435","map00053"
"mmu:394436","map00053"
"mmu:552899","map00053"
"mmu:56727","map00053"
"mmu:56752","map00053"
"mmu:71773","map00053"
"mmu:72094","map00053"
"mmu:72535","map00053"
"mmu:94215","map00053"
"mmu:94284","map00053"
"mmu:100705","map00061"
"mmu:107476","map00061"
"mmu:109729085","map00061"
"mmu:14081","map00061"
"mmu:14104","map00061"
"mmu:14979","map00061"
"mmu:216739","map00061"
"mmu:223722","map00061"
"mmu:234309","map00061"
"mmu:257633","map00061"
"mmu:26922","map00061"
"mmu:328845","map00061"
"mmu:433256","map00061"
"mmu:50790","map00061"
"mmu:71147","map00061"
"mmu:74205","map00061"
"mmu:78625","map00061"
"mmu:94180","map00061"
"mmu:99035","map00061"
"mmu:106529","map00062"
"mmu:12686","map00062"
"mmu:15107","map00062"
"mmu:170439","map00062"
"mmu:171210","map00062"
"mmu:171281","map00062"
"mmu:171282","map00062"
"mmu:19063","map00062"
"mmu:217698","map00062"
"mmu:231086","map00062"
"mmu:26897","map00062"
"mmu:26922","map00062"
"mmu:30963","map00062"
"mmu:52538","map00062"
"mmu:54325","map00062"
"mmu:54326","map00062"
"mmu:54397","map00062"
"mmu:56348","map00062"
"mmu:57874","map00062"
"mmu:66198","map00062"
"mmu:66775","map00062"
"mmu:68801","map00062"
"mmu:70025","map00062"
"mmu:70757","map00062"
"mmu:74559","map00062"
"mmu:75778","map00062"
"mmu:83603","map00062"
"mmu:93747","map00062"
"mmu:97212","map00062"
"mmu:100040843","map00071"
"mmu:110446","map00071"
"mmu:110460","map00071"
"mmu:110695","map00071"
"mmu:11363","map00071"
"mmu:11364","map00071"
"mmu:11370","map00071"
"mmu:113868","map00071"
"mmu:11409","map00071"
"mmu:11430","map00071"
"mmu:11522","map00071"
"mmu:11529","map00071"
"mmu:11532","map00071"
"mmu:11669","map00071"
"mmu:11671","map00071"
"mmu:12894","map00071"
"mmu:12895","map00071"
"mmu:12896","map00071"
"mmu:13117","map00071"
"mmu:13118","map00071"
"mmu:13119","map00071"
"mmu:13177","map00071"
"mmu:14081","map00071"
"mmu:15107","map00071"
"mmu:216739","map00071"
"mmu:230639","map00071"
"mmu:231086","map00071"
"mmu:235674","map00071"
"mmu:23986","map00071"
"mmu:26876","map00071"
"mmu:270076","map00071"
"mmu:277753","map00071"
"mmu:328845","map00071"
"mmu:433256","map00071"
"mmu:435802","map00071"
"mmu:50790","map00071"
"mmu:52538","map00071"
"mmu:56752","map00071"
"mmu:666168","map00071"
"mmu:66885","map00071"
"mmu:69123","map00071"
"mmu:72535","map00071"
"mmu:74147","map00071"
"mmu:74205","map00071"
"mmu:78070","map00071"
"mmu:78625","map00071"
"mmu:80911","map00071"
"mmu:93747","map00071"
"mmu:94180","map00071"
"mmu:97212","map00071"
"mmu:110446","map00072"
"mmu:110460","map00072"
"mmu:15356","map00072"
"mmu:15360","map00072"
"mmu:208715","map00072"
"mmu:208982","map00072"
"mmu:353371","map00072"
"mmu:64059","map00072"
"mmu:67041","map00072"
"mmu:69772","map00072"
"mmu:71911","map00072"
"mmu:12613","map00100"
"mmu:13081","map00100"
"mmu:13115","map00100"
"mmu:13121","map00100"
"mmu:13360","map00100"
"mmu:13595","map00100"
"mmu:14137","map00100"
"mmu:15490","map00100"
"mmu:16889","map00100"
"mmu:16987","map00100"
