"ENTITY","PATHWAY"
"136113","R-MMU-556833"
"136113","R-MMU-9018676"
"136113","R-MMU-9018677"
"136113","R-MMU-9018678"
"136113","R-MMU-9018681"
"136352","R-MMU-1430728"
"136352","R-MMU-556833"
"136352","R-MMU-9018678"
"136352","R-MMU-9027604"
"137011","R-MMU-1430728"
"137011","R-MMU-556833"
"137011","R-MMU-9018678"
"137011","R-MMU-9018683"
"137011","R-MMU-9025094"
"137011","R-MMU-9026403"
"137018","R-MMU-1430728"
"137018","R-MMU-556833"
"137018","R-MMU-9018678"
"137018","R-MMU-9018683"
"137018","R-MMU-9025094"
"137018","R-MMU-9026403"
"137019","R-MMU-1430728"
"137019","R-MMU-556833"
"137019","R-MMU-9018678"
"137019","R-MMU-9018683"
"137019","R-MMU-9025094"
"137019","R-MMU-9026403"
"137020","R-MMU-1430728"
"137020","R-MMU-556833"
"137020","R-MMU-9018678"
"137020","R-MMU-9018683"
"137020","R-MMU-9025094"
"137020","R-MMU-9026403"
"137038","R-MMU-1430728"
"137038","R-MMU-162582"
"137038","R-MMU-372790"
"137038","R-MMU-373076"
"137038","R-MMU-500792"
"137038","R-MMU-556833"
"137038","R-MMU-9018678"
"137038","R-MMU-9018679"
"137038","R-MMU-9018896"
"13705","R-MMU-1430728"
"13705","R-MMU-382551"
"13705","R-MMU-425366"
"13705","R-MMU-425407"
"13705","R-MMU-433692"
"13705","R-MMU-556833"
"13705","R-MMU-71291"
"13705","R-MMU-74182"
"13705","R-MMU-77111"
"13705","R-MMU-8963684"
"13705","R-MMU-8963691"
"13719","R-MMU-1430728"
"13719","R-MMU-2142753"
"13719","R-MMU-2162123"
"13719","R-MMU-556833"
"13719","R-MMU-8978868"
"137346","R-MMU-1430728"
"137346","R-MMU-556833"
"137346","R-MMU-9018677"
"137346","R-MMU-9018678"
"137346","R-MMU-9018682"
"137346","R-MMU-9027307"
"137347","R-MMU-1430728"
"137347","R-MMU-556833"
"137347","R-MMU-9018677"
"137347","R-MMU-9018678"
"137347","R-MMU-9018682"
"137347","R-MMU-9027307"
"137354","R-MMU-1430728"
"137354","R-MMU-556833"
"137354","R-MMU-9018677"
"137354","R-MMU-9018678"
"137354","R-MMU-9018682"
"137354","R-MMU-9027307"
"137360","R-MMU-1430728"
"137360","R-MMU-556833"
"137360","R-MMU-9018677"
"137360","R-MMU-9018678"
"137360","R-MMU-9018682"
"137360","R-MMU-9027307"
"137361","R-MMU-1430728"
"137361","R-MMU-556833"
"137361","R-MMU-9018677"
"137361","R-MMU-9018678"
"137361","R-MMU-9018682"
"137361","R-MMU-9027307"
"137368","R-MMU-1430728"
"137368","R-MMU-556833"
"137368","R-MMU-9018677"
"137368","R-MMU-9018678"
"137368","R-MMU-9018682"
"137368","R-MMU-9027307"
"138179","R-MMU-1430728"
"138179","R-MMU-556833"
"138179","R-MMU-9018677"
"138179","R-MMU-9018678"
"138179","R-MMU-9020265"
"138202","R-MMU-1430728"
"138202","R-MMU-556833"
"138202","R-MMU-9018677"
"138202","R-MMU-9018678"
"138202","R-MMU-9026395"
"138202","R-MMU-9026762"
"138248","R-MMU-1430728"
"138248","R-MMU-556833"
"138248","R-MMU-9018677"
"138248","R-MMU-9018678"
"138248","R-MMU-9018682"
"138387","R-MMU-1430728"
"138387","R-MMU-556833"
"138387","R-MMU-9018678"
"138387","R-MMU-9018679"
"138387","R-MMU-9018896"
"138477","R-MMU-1430728"
"138477","R-MMU-556833"
"138477","R-MMU-9018678"
"138477","R-MMU-9018679"
"138477","R-MMU-9018896"
"138490","R-MMU-1430728"
"138490","R-MMU-556833"
"138490","R-MMU-9018678"
"138490","R-MMU-9018679"
"138490","R-MMU-9018896"
"138542","R-MMU-1430728"
"138542","R-MMU-556833"
"138542","R-MMU-9018678"
"138542","R-MMU-9018679"
"138542","R-MMU-9023661"
"138563","R-MMU-1430728"
"138563","R-MMU-556833"
"138563","R-MMU-9018678"
"138563","R-MMU-9018679"
"138563","R-MMU-9023661"
"138565","R-MMU-1430728"
"138565","R-MMU-556833"
"138565","R-MMU-9018678"
"138565","R-MMU-9018679"
"138565","R-MMU-9023661"
"138590","R-MMU-1430728"
"138590","R-MMU-556833"
"138590","R-MMU-9018677"
"138590","R-MMU-9018678"
"138590","R-MMU-9018681"
"138590","R-MMU-9020265"
"138601","R-MMU-1430728"
"138601","R-MMU-556833"
"138601","R-MMU-9018677"
"138601","R-MMU-9018678"
"138601","R-MMU-9020265"
"138602","R-MMU-1430728"
"138602","R-MMU-556833"
"138602","R-MMU-9018677"
"138602","R-MMU-9018678"
"138602","R-MMU-9020265"
"138612","R-MMU-1430728"
"138612","R-MMU-556833"
"138612","R-MMU-9018677"
"138612","R-MMU-9018678"
"138612","R-MMU-9020265"
"138613","R-MMU-1430728"
"138613","R-MMU-556833"
"138613","R-MMU-9018677"
"138613","R-MMU-9018678"
"138613","R-MMU-9020265"
"138614","R-MMU-1430728"
"138614","R-MMU-556833"
"138614","R-MMU-9018677"
"138614","R-MMU-9018678"
"138614","R-MMU-9020265"
"138615","R-MMU-1430728"
"138615","R-MMU-556833"
"138615","R-MMU-9018677"
"138615","R-MMU-9018678"
"138615","R-MMU-9020265"
"138616","R-MMU-1430728"
"138616","R-MMU-556833"
"138616","R-MMU-9018677"
"138616","R-MMU-9018678"
"138616","R-MMU-9020265"
"138640","R-MMU-1430728"
"138640","R-MMU-556833"
"138640","R-MMU-9018676"
"138640","R-MMU-9018677"
"138640","R-MMU-9018678"
"138641","R-MMU-1430728"
"138641","R-MMU-556833"
"138641","R-MMU-9018676"
"138641","R-MMU-9018677"
"138641","R-MMU-9018678"
"138642","R-MMU-1430728"
"138642","R-MMU-556833"
"138642","R-MMU-9018676"
"138642","R-MMU-9018677"
"138642","R-MMU-9018678"
"138646","R-MMU-1430728"
"138646","R-MMU-556833"
"138646","R-MMU-9018676"
"138646","R-MMU-9018677"
"138646","R-MMU-9018678"
"138646","R-MMU-9026395"
"138646","R-MMU-9026766"
"138647","R-MMU-1430728"
"138647","R-MMU-556833"
"138647","R-MMU-9018676"
"138647","R-MMU-9018677"
"138647","R-MMU-9018678"
"138648","R-MMU-1430728"
"138648","R-MMU-556833"
"138648","R-MMU-9018676"
"138648","R-MMU-9018677"
"138648","R-MMU-9018678"
"138649","R-MMU-1430728"
"138649","R-MMU-556833"
"138649","R-MMU-9018676"
"138649","R-MMU-9018677"
"138649","R-MMU-9018678"
"138653","R-MMU-1430728"
"138653","R-MMU-556833"
"138653","R-MMU-9018677"
"138653","R-MMU-9018678"
"138653","R-MMU-9018681"
"138655","R-MMU-1430728"
"138655","R-MMU-556833"
"138655","R-MMU-9018677"
"138655","R-MMU-9018678"
"138655","R-MMU-9018681"
"138673","R-MMU-1430728"
"138673","R-MMU-556833"
"138673","R-MMU-9018678"
"138673","R-MMU-9018683"
"138673","R-MMU-9025106"
"138674","R-MMU-1430728"
"138674","R-MMU-556833"
"138674","R-MMU-9018678"
"138674","R-MMU-9018683"
"138674","R-MMU-9025106"
"139350","R-MMU-1430728"
"139350","R-MMU-71387"
"139350","R-MMU-9033658"
"139350","R-MMU-9033807"
"139350","R-MMU-9037629"
"139351","R-MMU-1430728"
"139351","R-MMU-71387"
"139351","R-MMU-9033658"
"139351","R-MMU-9033807"
"139352","R-MMU-1430728"
"139352","R-MMU-71387"
"139352","R-MMU-9033658"
"139352","R-MMU-9033807"
"139353","R-MMU-1430728"
"139353","R-MMU-71387"
"139353","R-MMU-9033658"
"139353","R-MMU-9033807"
"140162","R-MMU-1430728"
"140162","R-MMU-71387"
"140162","R-MMU-9033658"
"140162","R-MMU-9033807"
"140162","R-MMU-9037629"
"140180","R-MMU-1430728"
"140180","R-MMU-71387"
"140180","R-MMU-9033658"
"140180","R-MMU-9033807"
"140186","R-MMU-1430728"
"140186","R-MMU-71387"
"140186","R-MMU-9033658"
"140186","R-MMU-9033807"
"140187","R-MMU-1430728"
"140187","R-MMU-71387"
"140187","R-MMU-9033658"
"140187","R-MMU-9033807"
"140192","R-MMU-1430728"
"140192","R-MMU-556833"
"140192","R-MMU-9018677"
"140192","R-MMU-9018678"
"140192","R-MMU-9018681"
"140196","R-MMU-1430728"
"140196","R-MMU-556833"
"140196","R-MMU-9018677"
"140196","R-MMU-9018678"
"140196","R-MMU-9018682"
"140200","R-MMU-1430728"
"140200","R-MMU-556833"
"140200","R-MMU-9018678"
"140200","R-MMU-9018683"
"140200","R-MMU-9025094"
"140200","R-MMU-9026290"
"140202","R-MMU-1430728"
"140202","R-MMU-556833"
"140202","R-MMU-9018677"
"140202","R-MMU-9018678"
"140202","R-MMU-9018681"
"140218","R-MMU-1430728"
"140218","R-MMU-556833"
"140218","R-MMU-9018678"
"140218","R-MMU-9018683"
"140218","R-MMU-9025106"
"140220","R-MMU-1430728"
"140220","R-MMU-556833"
"140220","R-MMU-9018677"
"140220","R-MMU-9018678"
"140220","R-MMU-9018682"
"140220","R-MMU-9018683"
"140220","R-MMU-9025094"
"140220","R-MMU-9026290"
"140222","R-MMU-1430728"
"140222","R-MMU-556833"
"140222","R-MMU-9018678"
"140222","R-MMU-9018683"
"140222","R-MMU-9025094"
"140222","R-MMU-9026290"
"140224","R-MMU-1430728"
"140224","R-MMU-556833"
"140224","R-MMU-9018678"
"140224","R-MMU-9018683"
"140224","R-MMU-9025094"
"140224","R-MMU-9026286"
"140225","R-MMU-1430728"
"140225","R-MMU-556833"
"140225","R-MMU-9018677"
"140225","R-MMU-9018678"
"140225","R-MMU-9018681"
"140226","R-MMU-1430728"
"140226","R-MMU-556833"
"140226","R-MMU-9018678"
"140226","R-MMU-9018683"
"140226","R-MMU-9025094"
"140226","R-MMU-9026286"
"140234","R-MMU-1430728"
"140234","R-MMU-556833"
"140234","R-MMU-9018678"
"140234","R-MMU-9018683"
"140234","R-MMU-9025094"
"140234","R-MMU-9026286"
"140243","R-MMU-1430728"
"140243","R-MMU-556833"
"140243","R-MMU-9018677"
"140243","R-MMU-9018678"
"140243","R-MMU-9018681"
"140248","R-MMU-1430728"
