"KEGG","OTHERID"
"mmu:100041253","D3YUJ6"
"mmu:100041256","Q5FWD4"
"mmu:100041261","W4VSP7"
"mmu:100041264","A0A0J9YVD0"
"mmu:100041294","Q9Z199"
"mmu:100041296","D3YUK0"
"mmu:100041306","A6NAU0"
"mmu:100041336","L7N2D2"
"mmu:100041351","A0A1W2P7U0"
"mmu:100041352","Q8C641"
"mmu:100041352","E9Q046"
"mmu:100041354","Q3UL33"
"mmu:100041362","J3QMQ9"
"mmu:100041375","Q9JMA7"
"mmu:100041379","A2A9J5"
"mmu:100041379","Q4VA13"
"mmu:100041412","Q9D3H4"
"mmu:100041433","A2A8V7"
"mmu:100041449","D3Z2W7"
"mmu:100041488","Q9D3H4"
"mmu:100041505","Q60990"
"mmu:100041515","A6NAV5"
"mmu:100041546","P0CW03"
"mmu:100041548","A0A0G2JG26"
"mmu:100041550","J3QPZ4"
"mmu:100041554","Q9D506"
"mmu:100041566","L7N464"
"mmu:100041574","Q8C5D3"
"mmu:100041578","J3QMS8"
"mmu:100041579","A2APU9"
"mmu:100041581","A2ALW2"
"mmu:100041585","D3Z6H8"
"mmu:100041586","P11985"
"mmu:100041593","P86792"
"mmu:100041593","P86793"
"mmu:100041596","Q6XQH0"
"mmu:100041621","F6UWZ4"
"mmu:100041639","P11985"
"mmu:100041639","A0A0R4J284"
"mmu:100041658","Q58EV3"
"mmu:100041677","A2A7A2"
"mmu:100041678","A6NAS7"
"mmu:100041687","A2AKN8"
"mmu:100041688","E9QLQ1"
"mmu:100041702","K7N6M5"
"mmu:100041712","D3YUJ6"
"mmu:100041759","D3YX02"
"mmu:100041774","Q497R9"
"mmu:100041787","L7N231"
"mmu:100041806","Q5XK27"
"mmu:100041811","F2Z403"
"mmu:100041840","K7N693"
"mmu:100041874","Q5FWC9"
"mmu:100041890","Q45VN2"
"mmu:100041895","K9J724"
"mmu:100041952","D3Z0J0"
"mmu:100041953","E9Q317"
"mmu:100041964","J3QQ25"
"mmu:100041979","A0A087WPN2"
"mmu:100042055","D3YXI8"
"mmu:100042065","F6S692"
"mmu:100042109","Q4KL05"
"mmu:100042144","Q62478"
"mmu:100042149","K7N751"
"mmu:100042150","D3YZR2"
"mmu:100042159","A0A087WSN2"
"mmu:100042165","E9Q5E2"
"mmu:100042168","A2CGC2"
"mmu:100042175","Q62478"
"mmu:100042182","K7N6G4"
"mmu:100042201","A0A087WRK1"
"mmu:100042254","A2CGC2"
"mmu:100042268","Q9D9T3"
"mmu:100042275","Q5FWA1"
"mmu:100042279","A0A087WRK1"
"mmu:100042295","Q6P8Q0"
"mmu:100042314","E9Q6L7"
"mmu:100042337","J3QPX2"
"mmu:100042342","Q5EBJ2"
"mmu:100042428","Q62457"
"mmu:100042437","Q8R285"
"mmu:100042450","A0A504"
"mmu:100042475","Q9D9T3"
"mmu:100042480","B1AXH1"
"mmu:100042493","P86792"
"mmu:100042493","P86793"
"mmu:100042503","Q9CQC7"
"mmu:100042514","Q4KL71"
"mmu:100042514","Q9CQK8"
"mmu:100042555","P70225"
"mmu:100042591","L7N1Z4"
"mmu:100042636","E9PVI0"
"mmu:100042653","K7N741"
"mmu:100042688","K7N709"
"mmu:100042690","A2ATW2"
"mmu:100042761","E0CYU8"
"mmu:100042776","Q3UT53"
"mmu:100042781","F6W043"
"mmu:100042782","Q3SXD1"
"mmu:100042784","A2AGX3"
"mmu:100042786","A0A1Y7VKT9"
"mmu:100042807","Q66JS6"
"mmu:100042810","L7N2B5"
"mmu:100042840","A9Z055"
"mmu:100042848","E9Q5C7"
"mmu:100042849","A0A087WR82"
"mmu:100042855","M0QWD8"
"mmu:100042856","Q80SU7"
"mmu:100042874","B2RWR6"
"mmu:100042881","B2RWR6"
"mmu:100042891","K7N709"
"mmu:100042894","L7N282"
"mmu:100042921","L7N215"
"mmu:100042922","Q5M8Q2"
"mmu:100042927","A0A087WP11"
"mmu:100042929","Q5M8Q2"
"mmu:100042931","Q5M8Q2"
"mmu:100042939","Q5M8Q2"
"mmu:100042943","Q5M8Q2"
"mmu:100042944","Q5M8Q2"
"mmu:100042946","Q5M8Q2"
"mmu:100042964","K9J7G6"
"mmu:100042968","E9Q365"
"mmu:100042971","K7N6B7"
"mmu:100042976","K9J7H2"
"mmu:100042996","L7N226"
"mmu:100043013","L7N2C8"
"mmu:100043016","D3YTY2"
"mmu:100043019","D3YTW8"
"mmu:100043025","D3YTX5"
"mmu:100043029","D3YTY2"
"mmu:100043033","D3YZG3"
"mmu:100043034","A2AWF2"
"mmu:100043037","K7N6B8"
"mmu:100043043","K9J7G6"
"mmu:100043051","E9PWL6"
"mmu:100043057","P86045"
"mmu:100043058","K7N6B7"
"mmu:100043061","K9J7H2"
"mmu:100043067","G3UY92"
"mmu:100043079","D3YTW8"
"mmu:100043083","D3YTX5"
"mmu:100043088","D3YTY2"
"mmu:100043101","K7N6B6"
"mmu:100043103","L7N275"
"mmu:100043108","E9PXC3"
"mmu:100043123","A2A7W1"
"mmu:100043125","A2A7W1"
"mmu:100043133","Q8BG98"
"mmu:100043188","Q3UTC4"
"mmu:100043194","Q3UEP5"
"mmu:100043200","K7N727"
"mmu:100043216","D3YWB7"
"mmu:100043224","K9J7E2"
"mmu:100043227","E9PX25"
"mmu:100043231","E9PZY4"
"mmu:100043235","E9PZY4"
"mmu:100043239","E9PZY4"
"mmu:100043247","K9J7E2"
"mmu:100043254","P0C0P8"
"mmu:100043272","A0A1L1STD6"
"mmu:100043292","L7N2C4"
"mmu:100043300","A8R0U9"
"mmu:100043314","A0A0B4J1G6"
"mmu:100043326","D2XZ38"
"mmu:100043332","J3QNN4"
"mmu:100043381","A2ART4"
"mmu:100043387","A2BE23"
"mmu:100043456","Q61767"
"mmu:100043456","Q3UIU9"
"mmu:100043468","L7N232"
"mmu:100043468","Q9CS13"
"mmu:100043474","K7N6V7"
"mmu:100043497","E0CYR6"
"mmu:100043523","K9J7G4"
"mmu:100043536","Q9EPS5"
"mmu:100043569","G3UY48"
"mmu:100043596","D3YTY1"
"mmu:100043597","A0A087WQ44"
"mmu:100043604","E9Q8L6"
"mmu:100043614","D3YTY1"
"mmu:100043627","A4IF42"
"mmu:100043638","A0A140LJ87"
"mmu:100043645","Q3UTA8"
"mmu:100043665","Q3UT86"
"mmu:100043667","D3YTY1"
"mmu:100043684","P00688"
"mmu:100043686","P00688"
"mmu:100043688","P00688"
"mmu:100043757","A2ADM8"
"mmu:100043772","J3QPC5"
"mmu:100043813","Q6ZWU9"
"mmu:100043827","A0A087WNN9"
"mmu:100043836","D3YYY1"
"mmu:100043842","A0A087WR49"
"mmu:100043856","A0A087WPA9"
"mmu:100043860","B1B0N6"
"mmu:100043861","Q0ZUP1"
"mmu:100043861","A0A1U9W1A8"
"mmu:100043868","A2BH64"
"mmu:100043899","A2A5I3"
"mmu:100043915","A2ART4"
"mmu:100044193","Q6NS70"
"mmu:100044509","D3YZZ2"
"mmu:100044627","P62830"
"mmu:100045026","Q811D8"
"mmu:100045778","A0A1B0GR81"
"mmu:100045792","F7CKP4"
"mmu:100048534","E9Q7R9"
"mmu:100048644","P0DJF2"
"mmu:100048658","D3Z6P9"
"mmu:100048884","P04938"
"mmu:100048884","A2BIM8"
"mmu:100061","Q8BZT5"
"mmu:100066","Q3UNV2"
"mmu:100066","Q66JP5"
"mmu:100072","A2A891"
"mmu:100073351","Q3TTC2"
"mmu:100087","Q9D1R2"
"mmu:100088","Q8VE37"
"mmu:100088","Q3U6D2"
"mmu:100090","Q1H9T6"
"mmu:100101806","E9PXC0"
"mmu:100101807","Q8BR63"
"mmu:100101919","A0A087WR13"
"mmu:100102","Q80W65"
"mmu:100113398","Q6PAT0"
"mmu:100121","Q8K1H1"
"mmu:100125586","L7N1Z7"
"mmu:100126226","E9Q1Y9"
"mmu:100126765","A8R0W9"
"mmu:100126766","J3QN49"
"mmu:100126768","A8R0W3"
"mmu:100126773","A8R0W6"
"mmu:100126774","A8R0V1"
"mmu:100126775","A8R0X1"
"mmu:100126776","A8R0V6"
"mmu:100126777","A8R0T8"
"mmu:100126778","F7AMQ8"
"mmu:100126779","A8R0V5"
"mmu:100126824","Q8VCL2"
"mmu:100129","Q8K0Z9"
"mmu:100135654","A2AWM0"
"mmu:100135657","Q4TU90"
"mmu:100141474","Q9D3X4"
"mmu:100163","Q8VDG7"
"mmu:100169","Q501J7"
"mmu:100169864","P21126"
"mmu:100169864","Q3UK94"
"mmu:100177","Q8BS54"
"mmu:100182","Q80VW7"
"mmu:100188919","B2CXA1"
"mmu:100189605","P02762"
"mmu:100189605","A2CGB6"
"mmu:100191037","Q08EG8"
"mmu:100198","Q8CFX1"
"mmu:100201","Q3U145"
"mmu:100206","Q8CG72"
"mmu:100210","Q8VEJ1"
"mmu:100213","Q3V1Z0"
"mmu:100216455","A2AU83"
"mmu:100216474","A4Q9E4"
"mmu:100226","Q9ER00"
"mmu:100233175","P0C8B4"
"mmu:100233207","E9QAV2"
"mmu:100233208","A0A087WNP5"
"mmu:100233208","Q6PFY2"
"mmu:100270744","A0A0A6YY25"
"mmu:100271704","B9UIU9"
"mmu:100273","A2A8Z1"
"mmu:100294583","Q80UG6"
"mmu:100294660","Q8C1N9"
"mmu:100294660","Q8C1P0"
"mmu:100302688","G3UW87"
"mmu:100303732","A2ART1"
"mmu:100303744","Q4KL71"
"mmu:100303744","Q9CQK8"
"mmu:100310872","P51807"
"mmu:100312470","A2AMT6"
"mmu:100312471","A2AMT7"
"mmu:100312473","L7N213"
"mmu:100312474","E9Q235"
"mmu:100312475","E9PUW9"
"mmu:100312476","E9Q373"
"mmu:100312477","E9Q2N4"
"mmu:100312484","Q5SVD5"
