"KEGG","OTHERID"
"mmu:100040911","NP_001153603"
"mmu:100040923","XP_011243091"
"mmu:100040926","XP_011242894"
"mmu:100040935","XP_011243086"
"mmu:100040937","NP_001091449"
"mmu:100040944","NP_001333636"
"mmu:100040972","NP_001120641"
"mmu:100040981","XP_001476078"
"mmu:100041012","XP_030103984"
"mmu:100041032","XP_006535368"
"mmu:100041054","XP_017171800"
"mmu:100041057","XP_006535927"
"mmu:100041062","NP_001230079"
"mmu:100041076","XP_030104090"
"mmu:100041077","NP_001078888"
"mmu:100041096","NP_001095098"
"mmu:100041102","NP_001230866"
"mmu:100041115","XP_001476360"
"mmu:100041139","XP_011243160"
"mmu:100041146","XP_003084730"
"mmu:100041151","NP_001296330"
"mmu:100041177","XP_017171822"
"mmu:100041179","XP_017176765"
"mmu:100041187","NP_001177310"
"mmu:100041194","XP_030102906"
"mmu:100041223","NP_001153613"
"mmu:100041224","XP_001476050"
"mmu:100041230","NP_001182350"
"mmu:100041250","NP_001357760"
"mmu:100041253","NP_001186984"
"mmu:100041256","NP_001153614"
"mmu:100041261","NP_001095100"
"mmu:100041262","XP_017171803"
"mmu:100041264","XP_001476598"
"mmu:100041273","NP_001348976"
"mmu:100041279","XP_017171816"
"mmu:100041281","NP_001357762"
"mmu:100041284","NP_001153600"
"mmu:100041294","NP_035639"
"mmu:100041296","NP_001257385"
"mmu:100041306","NP_001229874"
"mmu:100041336","XP_001476726"
"mmu:100041351","NP_001095101"
"mmu:100041352","NP_001161050"
"mmu:100041354","NP_001116150"
"mmu:100041362","XP_011249331"
"mmu:100041375","NP_001098629"
"mmu:100041379","NP_001096628"
"mmu:100041412","NP_001120826"
"mmu:100041420","XP_011242896"
"mmu:100041433","NP_001230067"
"mmu:100041449","NP_001098630"
"mmu:100041488","NP_001092816"
"mmu:100041504","NP_001361168"
"mmu:100041505","NP_001257441"
"mmu:100041515","NP_001278022"
"mmu:100041546","NP_001092687"
"mmu:100041548","NP_001230040"
"mmu:100041550","NP_001186261"
"mmu:100041554","NP_001230038"
"mmu:100041566","NP_001230042"
"mmu:100041574","NP_001116842"
"mmu:100041578","NP_001230043"
"mmu:100041579","NP_001257360"
"mmu:100041581","NP_001092793"
"mmu:100041585","NP_031470"
"mmu:100041586","NP_001116840"
"mmu:100041593","XP_001473444"
"mmu:100041596","NP_001192178"
"mmu:100041598","XP_011243156"
"mmu:100041599","XP_017174386"
"mmu:100041621","NP_001116844"
"mmu:100041639","NP_001116839"
"mmu:100041658","NP_001334058"
"mmu:100041677","NP_001120661"
"mmu:100041678","NP_001243815"
"mmu:100041687","NP_001334060"
"mmu:100041688","NP_001170952"
"mmu:100041702","XP_011243139"
"mmu:100041708","XP_017174375"
"mmu:100041712","XP_006542839"
"mmu:100041722","NP_001344966"
"mmu:100041734","XP_030110874"
"mmu:100041735","NP_001243814"
"mmu:100041749","NP_001361647"
"mmu:100041759","NP_001170957"
"mmu:100041774","NP_083564"
"mmu:100041787","NP_001170958"
"mmu:100041806","XP_017174409"
"mmu:100041811","NP_001164426"
"mmu:100041840","NP_001243430"
"mmu:100041874","NP_001257771"
"mmu:100041890","NP_001170992"
"mmu:100041895","NP_001170993"
"mmu:100041903","XP_001477761"
"mmu:100041952","NP_001170999"
"mmu:100041953","NP_001135913"
