"KEGG","OTHERID"
"mmu:100041306","100041306"
"mmu:100041336","100041336"
"mmu:100041351","100041351"
"mmu:100041352","100041352"
"mmu:100041354","100041354"
"mmu:100041362","100041362"
"mmu:100041375","100041375"
"mmu:100041379","100041379"
"mmu:100041412","100041412"
"mmu:100041420","100041420"
"mmu:100041433","100041433"
"mmu:100041449","100041449"
"mmu:100041488","100041488"
"mmu:100041504","100041504"
"mmu:100041505","100041505"
"mmu:100041515","100041515"
"mmu:100041546","100041546"
"mmu:100041548","100041548"
"mmu:100041550","100041550"
"mmu:100041554","100041554"
"mmu:100041566","100041566"
"mmu:100041574","100041574"
"mmu:100041578","100041578"
"mmu:100041579","100041579"
"mmu:100041581","100041581"
"mmu:100041585","100041585"
"mmu:100041586","100041586"
"mmu:100041593","100041593"
"mmu:100041596","100041596"
"mmu:100041598","100041598"
"mmu:100041599","100041599"
"mmu:100041621","100041621"
"mmu:100041639","100041639"
"mmu:100041658","100041658"
"mmu:100041677","100041677"
"mmu:100041678","100041678"
"mmu:100041687","100041687"
"mmu:100041688","100041688"
"mmu:100041702","100041702"
"mmu:100041708","100041708"
"mmu:100041712","100041712"
"mmu:100041722","100041722"
"mmu:100041734","100041734"
"mmu:100041735","100041735"
"mmu:100041749","100041749"
"mmu:100041759","100041759"
"mmu:100041774","100041774"
"mmu:100041787","100041787"
"mmu:100041806","100041806"
"mmu:100041811","100041811"
"mmu:100041840","100041840"
"mmu:100041874","100041874"
"mmu:100041890","100041890"
"mmu:100041895","100041895"
"mmu:100041903","100041903"
"mmu:100041952","100041952"
"mmu:100041953","100041953"
"mmu:100041958","100041958"
"mmu:100041964","100041964"
"mmu:100041979","100041979"
"mmu:100042013","100042013"
"mmu:100042024","100042024"
"mmu:100042054","100042054"
"mmu:100042055","100042055"
"mmu:100042065","100042065"
"mmu:100042074","100042074"
"mmu:100042100","100042100"
"mmu:100042109","100042109"
"mmu:100042110","100042110"
"mmu:100042129","100042129"
"mmu:100042144","100042144"
"mmu:100042149","100042149"
"mmu:100042150","100042150"
"mmu:100042159","100042159"
"mmu:100042165","100042165"
"mmu:100042168","100042168"
"mmu:100042175","100042175"
"mmu:100042182","100042182"
"mmu:100042201","100042201"
"mmu:100042235","100042235"
"mmu:100042254","100042254"
"mmu:100042268","100042268"
"mmu:100042275","100042275"
"mmu:100042279","100042279"
"mmu:100042295","100042295"
"mmu:100042304","100042304"
"mmu:100042314","100042314"
"mmu:100042337","100042337"
"mmu:100042342","100042342"
"mmu:100042417","100042417"
"mmu:100042428","100042428"
"mmu:100042437","100042437"
"mmu:100042450","100042450"
"mmu:100042475","100042475"
"mmu:100042480","100042480"
"mmu:100042493","100042493"
"mmu:100042499","100042499"
"mmu:100042503","100042503"
"mmu:100042514","100042514"
"mmu:100042555","100042555"
"mmu:100042565","100042565"
"mmu:100042578","100042578"
"mmu:100042591","100042591"
"mmu:100042594","100042594"
"mmu:100042636","100042636"
"mmu:100042653","100042653"
"mmu:100042669","100042669"
"mmu:100042688","100042688"
"mmu:100042690","100042690"
"mmu:100042698","100042698"
"mmu:100042715","100042715"
"mmu:100042761","100042761"
"mmu:100042776","100042776"
"mmu:100042781","100042781"
"mmu:100042782","100042782"
"mmu:100042784","100042784"
"mmu:100042786","100042786"
"mmu:100042807","100042807"
"mmu:100042810","100042810"
"mmu:100042840","100042840"
"mmu:100042848","100042848"
"mmu:100042849","100042849"
"mmu:100042855","100042855"
"mmu:100042856","100042856"
"mmu:100042874","100042874"
"mmu:100042881","100042881"
"mmu:100042891","100042891"
"mmu:100042894","100042894"
"mmu:100042921","100042921"
"mmu:100042922","100042922"
"mmu:100042927","100042927"
"mmu:100042929","100042929"
"mmu:100042931","100042931"
"mmu:100042939","100042939"
"mmu:100042943","100042943"
"mmu:100042944","100042944"
"mmu:100042945","100042945"
"mmu:100042946","100042946"
"mmu:100042960","100042960"
"mmu:100042964","100042964"
"mmu:100042968","100042968"
"mmu:100042971","100042971"
"mmu:100042976","100042976"
"mmu:100042996","100042996"
"mmu:100043013","100043013"
"mmu:100043016","100043016"
"mmu:100043019","100043019"
"mmu:100043025","100043025"
"mmu:100043029","100043029"
"mmu:100043033","100043033"
"mmu:100043034","100043034"
"mmu:100043037","100043037"
"mmu:100043043","100043043"
"mmu:100043051","100043051"
"mmu:100043057","100043057"
"mmu:100043058","100043058"
"mmu:100043061","100043061"
"mmu:100043067","100043067"
"mmu:100043079","100043079"
"mmu:100043083","100043083"
"mmu:100043088","100043088"
"mmu:100043101","100043101"
"mmu:100043103","100043103"
"mmu:100043108","100043108"
"mmu:100043123","100043123"
"mmu:100043125","100043125"
"mmu:100043133","100043133"
"mmu:100043188","100043188"
"mmu:100043194","100043194"
"mmu:100043200","100043200"
"mmu:100043207","100043207"
"mmu:100043216","100043216"
"mmu:100043224","100043224"
"mmu:100043227","100043227"
"mmu:100043231","100043231"
"mmu:100043235","100043235"
"mmu:100043239","100043239"
"mmu:100043247","100043247"
"mmu:100043254","100043254"
"mmu:100043272","100043272"
"mmu:100043292","100043292"
"mmu:100043300","100043300"
"mmu:100043314","100043314"
"mmu:100043326","100043326"
"mmu:100043332","100043332"
"mmu:100043381","100043381"
"mmu:100043387","100043387"
"mmu:100043403","100043403"
