KEGG	OTHERID	OTHERTYPE
C00302	617-65-2	CAS
C00303	6899-04-3	CAS
C00304	8063-07-8	CAS
C00305	7439-95-4	CAS
C00306	58-82-2	CAS
C00307	987-78-0	CAS
C00308	543-38-4	CAS
C00309	488-84-6	CAS
C00310	551-84-8	CAS
C00311	320-77-4	CAS
C00312	527-50-4	CAS
C00314	65-23-6	CAS
C00315	124-20-9	CAS
C00317	9037-22-3	CAS
C00318	541-15-1	CAS
C00319	123-78-4	CAS
C00322	3184-35-8	CAS
C00323	53034-79-0	CAS
C00324	13408-62-3	CAS
C00327	372-75-8	CAS
C00328	2922-83-0	CAS
C00329	3416-24-8	CAS
C00330	961-07-9	CAS
C00331	392-12-1	CAS
C00332	1420-36-6	CAS
C00333	685-73-4	CAS
C00334	56-12-2	CAS
C00337	5988-19-2	CAS
C00342	52500-60-4	CAS
C00346	1071-23-4	CAS
C00352	3616-42-0	CAS
C00353	6699-20-3	CAS
C00354	488-69-7	CAS
C00355	59-92-7	CAS
C00356	1553-55-5	CAS
C00360	653-63-4	CAS
C00362	902-04-5	CAS
C00363	491-97-4	CAS
C00364	365-07-1	CAS
C00365	964-26-1	CAS
C00366	69-93-2	CAS
C00367	9000-71-9	CAS
C00369	9005-25-8	CAS
C00371	1637-39-4	CAS
C00372	9004-54-0	CAS
C00373	9007-58-3	CAS
C00374	9005-49-6	CAS
C00376	116-31-4	CAS
C00378	59-43-8	CAS
C00379	87-99-0	CAS
C00380	71-30-7	CAS
C00383	141-82-2	CAS
C00384	1404-04-2	CAS
C00385	69-89-6	CAS
C00386	305-84-0	CAS
C00387	118-00-3	CAS
C00388	51-45-6	CAS
C00389	117-39-5	CAS
C00390	56275-39-9	CAS
C00392	69-65-8	CAS
C00393	9001-32-5	CAS
C00397	32986-56-4	CAS
C00398	61-54-1	CAS
C00399	1339-63-5	CAS
C00400	2216-51-5	CAS
C00402	1783-96-6	CAS
C00407	73-32-5	CAS
C00408	3105-95-1	CAS
C00409	74-93-1	CAS
C00410	57-83-0	CAS
C00411	54429-80-0	CAS
C00412	362-66-3	CAS
C00413	57-92-1	CAS
C00414	108-94-1	CAS
C00415	4033-27-6	CAS
C00417	585-84-2	CAS
C00418	17817-88-8	CAS
C00423	140-10-3	CAS
C00424	3913-64-2	CAS
C00426	24967-94-0	CAS
C00427	42935-17-1	CAS
C00429	504-07-4	CAS
C00430	106-60-5	CAS
C00431	660-88-8	CAS
C00436	6851-51-0	CAS
C00437	6205-08-9	CAS
C00440	134-35-0	CAS
C00446	2255-14-3	CAS
C00447	815-91-8	CAS
C00448	372-97-4	CAS
C00449	997-68-2	CAS
C00451	6061-97-8	CAS
C00455	1094-61-7	CAS
C00458	2056-98-6	CAS
C00461	1398-61-4	CAS
C00463	120-72-9	CAS
C00464	52002-03-6	CAS
C00466	513-86-0	CAS
C00468	53-16-7	CAS
C00469	64-17-5	CAS
C00472	106-51-4	CAS
C00473	11103-57-4	CAS
C00473	68-26-8	CAS
C00474	488-81-3	CAS
C00475	65-46-3	CAS
C00476	1114-34-7	CAS
C00477	3604-87-3	CAS
C00478	1402-10-4	CAS
C00479	123-38-6	CAS
C00480	9057-02-7	CAS
C00481	288-13-1	CAS
C00482	530-59-6	CAS
C00483	51-67-2	CAS
C00486	635-65-4	CAS
C00487	406-76-8	CAS
C00488	75-12-7	CAS
C00489	110-94-1	CAS
C00490	97-65-4	CAS
C00491	56-89-3	CAS
C00492	512-69-6	CAS
C00493	138-59-0	CAS
C00494	32385-11-8	CAS
C00495	519-57-3	CAS
C00496	60267-61-0	CAS
C00497	636-61-3	CAS
C00499	99-16-1	CAS
C00500	114-25-0	CAS
C00502	526-91-0	CAS
C00503	149-32-6	CAS
C00504	59-30-3	CAS
C00505	1403-66-3	CAS
C00506	13100-82-8	CAS
C00507	3615-41-6	CAS
C00508	2042-27-5	CAS
C00509	480-41-1	CAS
C00511	79-10-7	CAS
C00512	6756-74-7	CAS
C00515	348-66-3	CAS
C00517	629-80-1	CAS
C00518	9004-61-9	CAS
C00519	300-84-5	CAS
C00521	5989-54-8	CAS
C00522	470-29-1	CAS
C00523	53-41-8	CAS
C00524	9007-43-6	CAS
C00525	153-94-6	CAS
C00526	951-78-0	CAS
C00527	3131-84-8	CAS
C00530	123-31-9	CAS
C00532	7643-75-6	CAS
C00533	10102-43-9	CAS
C00534	85-87-0	CAS
C00535	58-22-0	CAS
C00541	14463-33-3	CAS
C00542	535-34-2	CAS
C00543	124-40-3	CAS
C00544	451-13-8	CAS
C00545	608-53-7	CAS
C00546	78-98-8	CAS
C00547	51-41-2	CAS
C00548	122-79-2	CAS
C00551	9041-22-9	CAS
C00552	147-73-9	CAS
C00553	2216-52-6	CAS
C00556	100-51-6	CAS
C00557	120-92-3	CAS
C00559	958-09-8	CAS
C00561	532-28-5	CAS
C00563	36357-77-4	CAS
C00565	75-50-3	CAS
C00568	150-13-0	CAS
C00569	9036-66-2	CAS
C00570	3036-18-8	CAS
C00571	108-91-8	CAS
C00575	60-92-4	CAS
C00577	367-47-5	CAS
C00577	453-17-8	CAS
C00579	3884-47-7	CAS
C00580	75-18-3	CAS
C00581	352-97-6	CAS
C00583	57-55-6	CAS
C00584	363-24-6	CAS
C00586	154-17-6	CAS
C00587	99-06-9	CAS
C00588	107-73-3	CAS
C00590	458-35-5	CAS
C00593	32797-12-9	CAS
C00596	159694-16-3	CAS
C00599	601-57-0	CAS
C00601	122-78-1	CAS
C00604	66-71-7	CAS
C00606	1115-65-7	CAS
C00607	9007-28-7	CAS
C00611	32181-59-2	CAS
C00623	5746-57-6	CAS
C00624	1188-37-0	CAS
C00627	447-05-2	CAS
C00628	490-79-9	CAS
C00632	548-93-6	CAS
C00633	123-08-0	CAS
C00634	24967-93-9	CAS
C00635	25322-46-7	CAS
C00637	2591-98-2	CAS
C00639	551-11-1	CAS
C00642	156-38-7	CAS
C00643	4350-09-8	CAS
C00644	15806-48-1	CAS
C00645	3615-17-6	CAS
C00647	529-96-4	CAS
C00652	2782-09-4	CAS
C00655	523-98-8	CAS
C00661	591-59-3	CAS
C00669	636-58-8	CAS
C00672	17210-42-3	CAS
C00674	846-46-8	CAS
C00682	3270-98-2	CAS
C00689	4484-88-2	CAS
C00691	488-64-2	CAS
C00695	81-25-4	CAS
C00696	41598-07-6	CAS
C00697	7727-37-9	CAS
C00698	16887-00-6	CAS
C00705	800-73-7	CAS
C00707	9014-63-5	CAS
C00711	617-48-1	CAS
C00712	112-80-1	CAS
C00713	33401-87-5	CAS
C00714	9000-69-5	CAS
C00715	2236-60-4	CAS
C00716	302-84-1	CAS
C00718	9005-82-7	CAS
C00719	107-43-7	CAS
C00720	24959-67-9	CAS
C00721	9004-53-9	CAS
C00723	9004-10-8	CAS
C00725	62-46-4	CAS
C00727	504-15-4	CAS
C00729	120-29-6	CAS
C00732	58970-76-6	CAS
C00735	50-23-7	CAS
C00736	3374-22-9	CAS
C00739	923-27-3	CAS
C00740	312-84-5	CAS
C00741	431-03-8	CAS
C00742	7782-41-4	CAS
C00744	11049-15-3	CAS
C00745	54-11-5	CAS
C00746	50-56-6	CAS
C00747	110-86-1	CAS
C00750	71-44-3	CAS
C00751	111-02-4	CAS
C00752	9002-04-4	CAS
C00753	7440-33-7	CAS
C00755	121-33-5	CAS
C00756	111-87-5	CAS
C00757	2086-83-1	CAS
C00758	486-60-2	CAS
C00760	9004-34-6	CAS
C00761	531-29-3	CAS
C00762	53-06-5	CAS
C00763	344-25-2	CAS
C00764	3615-56-3	CAS
