Input ID	IDsource	Output ID	source of the output ID
C00184	KEGG	96-26-4	CAS registry number
C00186	KEGG	79-33-4	CAS registry number
C00187	KEGG	57-88-5	CAS registry number
C00188	KEGG	72-19-5	CAS registry number
C00189	KEGG	141-43-5	CAS registry number
C00190	KEGG	3616-06-6	CAS registry number
C00191	KEGG	6556-12-3	CAS registry number
C00192	KEGG	7803-49-8	CAS registry number
C00194	KEGG	13870-90-1	CAS registry number
C00196	KEGG	303-38-8	CAS registry number
C00198	KEGG	90-80-2	CAS registry number
C00199	KEGG	551-85-9	CAS registry number
C00200	KEGG	299-11-6	CAS registry number
C00202	KEGG	55-91-4	CAS registry number
C00207	KEGG	67-64-1	CAS registry number
C00208	KEGG	69-79-4	CAS registry number
C00209	KEGG	144-62-7	CAS registry number
C00210	KEGG	14709-02-5	CAS registry number
C00211	KEGG	9064-67-9	CAS registry number
C00212	KEGG	58-61-7	CAS registry number
C00213	KEGG	107-97-1	CAS registry number
C00214	KEGG	50-89-5	CAS registry number
C00216	KEGG	10323-20-3	CAS registry number
C00217	KEGG	6893-26-1	CAS registry number
C00218	KEGG	74-89-5	CAS registry number
C00219	KEGG	506-32-1	CAS registry number
C00220	KEGG	61-73-4	CAS registry number
C00221	KEGG	492-61-5	CAS registry number
C00223	KEGG	119785-99-8	CAS registry number
C00224	KEGG	485-84-7	CAS registry number
C00225	KEGG	1910-42-5	CAS registry number
C00230	KEGG	99-50-3	CAS registry number
C00232	KEGG	692-29-5	CAS registry number
C00233	KEGG	816-66-0	CAS registry number
C00234	KEGG	2800-34-2	CAS registry number
C00235	KEGG	358-72-5	CAS registry number
C00236	KEGG	38168-82-0	CAS registry number
C00238	KEGG	7440-09-7	CAS registry number
C00239	KEGG	1032-65-1	CAS registry number
C00242	KEGG	73-40-5	CAS registry number
C00243	KEGG	63-42-3	CAS registry number
C00244	KEGG	7697-37-2	CAS registry number
C00245	KEGG	107-35-7	CAS registry number
C00246	KEGG	107-92-6	CAS registry number
C00247	KEGG	87-79-6	CAS registry number
C00248	KEGG	940-69-2	CAS registry number
C00249	KEGG	57-10-3	CAS registry number
C00250	KEGG	66-72-8	CAS registry number
C00251	KEGG	617-12-9	CAS registry number
C00252	KEGG	499-40-1	CAS registry number
C00253	KEGG	59-67-6	CAS registry number
C00254	KEGG	126-49-8	CAS registry number
C00255	KEGG	83-88-5	CAS registry number
C00256	KEGG	10326-41-7	CAS registry number
C00257	KEGG	526-95-4	CAS registry number
C00258	KEGG	473-81-4	CAS registry number
C00259	KEGG	147-81-9	CAS registry number
C00261	KEGG	100-52-7	CAS registry number
C00262	KEGG	68-94-0	CAS registry number
C00263	KEGG	672-15-1	CAS registry number
C00265	KEGG	3483-12-3	CAS registry number
C00266	KEGG	141-46-8	CAS registry number
C00267	KEGG	492-62-6	CAS registry number
C00270	KEGG	131-48-6	CAS registry number
C00272	KEGG	17528-72-2	CAS registry number
C00279	KEGG	585-18-2	CAS registry number
C00280	KEGG	63-05-8	CAS registry number
C00282	KEGG	1333-74-0	CAS registry number
C00283	KEGG	7783-06-4	CAS registry number
C00284	KEGG	60-00-4	CAS registry number
C00286	KEGG	2564-35-4	CAS registry number
C00290	KEGG	9001-31-4	CAS registry number
C00291	KEGG	7440-02-0	CAS registry number
C00292	KEGG	62-53-3	CAS registry number
C00294	KEGG	58-63-9	CAS registry number
C00295	KEGG	65-86-1	CAS registry number
C00296	KEGG	77-95-2	CAS registry number
C00298	KEGG	9002-07-7	CAS registry number
C00299	KEGG	58-96-8	CAS registry number
C00300	KEGG	57-00-1	CAS registry number
C00302	KEGG	617-65-2	CAS registry number
C00303	KEGG	6899-04-3	CAS registry number
C00304	KEGG	8063-07-8	CAS registry number
C00305	KEGG	7439-95-4	CAS registry number
C00306	KEGG	58-82-2	CAS registry number
C00307	KEGG	987-78-0	CAS registry number
C00308	KEGG	543-38-4	CAS registry number
C00309	KEGG	488-84-6	CAS registry number
C00310	KEGG	551-84-8	CAS registry number
C00311	KEGG	320-77-4	CAS registry number
C00312	KEGG	527-50-4	CAS registry number
C00314	KEGG	65-23-6	CAS registry number
C00315	KEGG	124-20-9	CAS registry number
C00317	KEGG	9037-22-3	CAS registry number
C00318	KEGG	541-15-1	CAS registry number
C00319	KEGG	123-78-4	CAS registry number
C00322	KEGG	3184-35-8	CAS registry number
C00323	KEGG	53034-79-0	CAS registry number
C00324	KEGG	13408-62-3	CAS registry number
C00327	KEGG	372-75-8	CAS registry number
C00328	KEGG	2922-83-0	CAS registry number
C00329	KEGG	3416-24-8	CAS registry number
C00330	KEGG	961-07-9	CAS registry number
C00331	KEGG	392-12-1	CAS registry number
C00332	KEGG	1420-36-6	CAS registry number
C00333	KEGG	685-73-4	CAS registry number
C00334	KEGG	56-12-2	CAS registry number
C00337	KEGG	5988-19-2	CAS registry number
C00342	KEGG	52500-60-4	CAS registry number
C00346	KEGG	1071-23-4	CAS registry number
C00352	KEGG	3616-42-0	CAS registry number
C00353	KEGG	6699-20-3	CAS registry number
C00354	KEGG	488-69-7	CAS registry number
C00355	KEGG	59-92-7	CAS registry number
C00356	KEGG	1553-55-5	CAS registry number
C00360	KEGG	653-63-4	CAS registry number
C00362	KEGG	902-04-5	CAS registry number
C00363	KEGG	491-97-4	CAS registry number
C00364	KEGG	365-07-1	CAS registry number
C00365	KEGG	964-26-1	CAS registry number
C00366	KEGG	69-93-2	CAS registry number
C00367	KEGG	9000-71-9	CAS registry number
C00369	KEGG	9005-25-8	CAS registry number
C00371	KEGG	1637-39-4	CAS registry number
C00372	KEGG	9004-54-0	CAS registry number
C00373	KEGG	9007-58-3	CAS registry number
C00374	KEGG	9005-49-6	CAS registry number
C00376	KEGG	116-31-4	CAS registry number
C00378	KEGG	59-43-8	CAS registry number
C00379	KEGG	87-99-0	CAS registry number
C00380	KEGG	71-30-7	CAS registry number
C00383	KEGG	141-82-2	CAS registry number
C00384	KEGG	1404-04-2	CAS registry number
C00385	KEGG	69-89-6	CAS registry number
C00386	KEGG	305-84-0	CAS registry number
C00387	KEGG	118-00-3	CAS registry number
C00388	KEGG	51-45-6	CAS registry number
C00389	KEGG	117-39-5	CAS registry number
C00390	KEGG	56275-39-9	CAS registry number
C00392	KEGG	69-65-8	CAS registry number
C00393	KEGG	9001-32-5	CAS registry number
C00397	KEGG	32986-56-4	CAS registry number
C00398	KEGG	61-54-1	CAS registry number
C00399	KEGG	1339-63-5	CAS registry number
C00400	KEGG	2216-51-5	CAS registry number
C00402	KEGG	1783-96-6	CAS registry number
C00407	KEGG	73-32-5	CAS registry number
C00408	KEGG	3105-95-1	CAS registry number
C00409	KEGG	74-93-1	CAS registry number
C00410	KEGG	57-83-0	CAS registry number
C00411	KEGG	54429-80-0	CAS registry number
C00412	KEGG	362-66-3	CAS registry number
C00413	KEGG	57-92-1	CAS registry number
