Input ID	IDsource	Output ID	source of the output ID
C11771	KEGG	18910-65-1	CAS registry number
C11772	KEGG	59-61-0	CAS registry number
C11773	KEGG	86880-51-5	CAS registry number
C11774	KEGG	67227-55-8	CAS registry number
C11775	KEGG	81801-12-9	CAS registry number
C11776	KEGG	1075-61-2	CAS registry number
C11777	KEGG	54-92-2	CAS registry number
C11778	KEGG	5140-28-3	CAS registry number
C11779	KEGG	639-47-4	CAS registry number
C11781	KEGG	2784-73-8	CAS registry number
C11782	KEGG	509-60-4	CAS registry number
C11785	KEGG	466-97-7	CAS registry number
C11786	KEGG	639-46-3	CAS registry number
C11787	KEGG	62-67-9	CAS registry number
C11788	KEGG	3882-38-0	CAS registry number
C11789	KEGG	3734-52-9	CAS registry number
C11790	KEGG	127-35-5	CAS registry number
C11791	KEGG	75684-07-0	CAS registry number
C11792	KEGG	469-79-4	CAS registry number
C11793	KEGG	14521-96-1	CAS registry number
C11794	KEGG	14357-78-9	CAS registry number
C11795	KEGG	36292-66-7	CAS registry number
C11796	KEGG	67198-13-4	CAS registry number
C11797	KEGG	83386-35-0	CAS registry number
C11798	KEGG	91-84-9	CAS registry number
C11799	KEGG	34970-65-5	CAS registry number
C11800	KEGG	38603-23-5	CAS registry number
C11803	KEGG	72830-39-8	CAS registry number
C11804	KEGG	73278-54-3	CAS registry number
C11805	KEGG	76956-02-0	CAS registry number
C11806	KEGG	102625-70-7	CAS registry number
C11813	KEGG	47763-23-5	CAS registry number
C11815	KEGG	57128-91-3	CAS registry number
C11816	KEGG	549-91-7	CAS registry number
C11819	KEGG	94470-67-4	CAS registry number
C11820	KEGG	305-96-4	CAS registry number
C11831	KEGG	18433-30-2	CAS registry number
C11833	KEGG	62319-53-3	CAS registry number
C11834	KEGG	836-43-1	CAS registry number
C11839	KEGG	76924-95-3	CAS registry number
C11840	KEGG	152833-54-0	CAS registry number
C11841	KEGG	147795-39-9	CAS registry number
C11847	KEGG	3705-26-8	CAS registry number
C11849	KEGG	51883-36-4	CAS registry number
C11853	KEGG	35470-76-9	CAS registry number
C11855	KEGG	76040-29-4	CAS registry number
C11856	KEGG	19147-78-5	CAS registry number
C11857	KEGG	1164-45-0	CAS registry number
C11858	KEGG	429678-85-3	CAS registry number
C11860	KEGG	88373-66-4	CAS registry number
C11861	KEGG	19427-32-8	CAS registry number
C11862	KEGG	38076-57-2	CAS registry number
C11863	KEGG	427-77-0	CAS registry number
C11864	KEGG	468-44-0	CAS registry number
C11865	KEGG	56978-14-4	CAS registry number
C11866	KEGG	2531-21-7	CAS registry number
C11867	KEGG	510-75-8	CAS registry number
C11868	KEGG	32630-92-5	CAS registry number
C11870	KEGG	78791-79-4	CAS registry number
C11871	KEGG	561-56-8	CAS registry number
C11872	KEGG	2300-11-0	CAS registry number
C11873	KEGG	14046-84-5	CAS registry number
C11874	KEGG	6730-83-2	CAS registry number
C11875	KEGG	21435-01-8	CAS registry number
C11876	KEGG	26109-32-0	CAS registry number
C11877	KEGG	21738-16-9	CAS registry number
C11878	KEGG	35241-40-8	CAS registry number
C11879	KEGG	122712-77-0	CAS registry number
C11880	KEGG	57119-12-7	CAS registry number
C11881	KEGG	41577-36-0	CAS registry number
C11882	KEGG	666-84-2	CAS registry number
C11883	KEGG	97640-46-5	CAS registry number
C11884	KEGG	640-42-6	CAS registry number
C11885	KEGG	19898-57-8	CAS registry number
C11886	KEGG	103654-28-0	CAS registry number
C11887	KEGG	6704-50-3	CAS registry number
C11888	KEGG	79-54-9	CAS registry number
C11889	KEGG	471-77-2	CAS registry number
C11890	KEGG	101143-85-5	CAS registry number
C11891	KEGG	52592-29-7	CAS registry number
C11892	KEGG	52645-90-6	CAS registry number
C11893	KEGG	1898-13-1	CAS registry number
C11894	KEGG	163594-75-0	CAS registry number
C11895	KEGG	178888-02-3	CAS registry number
C11896	KEGG	214628-37-2	CAS registry number
C11897	KEGG	357436-25-0	CAS registry number
C11898	KEGG	337515-55-6	CAS registry number
C11900	KEGG	27548-93-2	CAS registry number
C11905	KEGG	85344-33-8	CAS registry number
C11906	KEGG	7784-46-5	CAS registry number
C11918	KEGG	118-71-8	CAS registry number
C11921	KEGG	130832-66-5	CAS registry number
C11924	KEGG	7694-45-3	CAS registry number
C11930	KEGG	321847-68-1	CAS registry number
C11937	KEGG	24047-73-2	CAS registry number
C11938	KEGG	515-00-4	CAS registry number
C11939	KEGG	23727-16-4	CAS registry number
C11940	KEGG	19250-17-0	CAS registry number
C11941	KEGG	5947-36-4	CAS registry number
C11942	KEGG	112077-94-8	CAS registry number
C11943	KEGG	65860-54-0	CAS registry number
C11944	KEGG	65860-56-2	CAS registry number
C11950	KEGG	65860-53-9	CAS registry number
C11952	KEGG	1196-31-2	CAS registry number
C11959	KEGG	65195-58-6	CAS registry number
C11960	KEGG	65195-54-2	CAS registry number
C11967	KEGG	65195-56-4	CAS registry number
C11968	KEGG	65195-52-0	CAS registry number
C11975	KEGG	65195-57-5	CAS registry number
C11976	KEGG	65195-53-1	CAS registry number
C11983	KEGG	65195-55-3	CAS registry number
C11984	KEGG	65195-51-9	CAS registry number
C11985	KEGG	28022-11-9	CAS registry number
C11986	KEGG	49669-75-2	CAS registry number
C11987	KEGG	49669-76-3	CAS registry number
C11988	KEGG	49669-77-4	CAS registry number
C11989	KEGG	53428-54-9	CAS registry number
C11990	KEGG	68540-16-9	CAS registry number
C11993	KEGG	81644-19-1	CAS registry number
C11994	KEGG	11091-33-1	CAS registry number
C11995	KEGG	497-73-4	CAS registry number
C11996	KEGG	497-72-3	CAS registry number
C11998	KEGG	6036-25-5	CAS registry number
C11999	KEGG	19721-56-3	CAS registry number
C12000	KEGG	74758-60-4	CAS registry number
C12007	KEGG	114797-04-5	CAS registry number
C12008	KEGG	81988-88-7	CAS registry number
C12009	KEGG	191114-48-4	CAS registry number
C12011	KEGG	151922-16-6	CAS registry number
C12012	KEGG	220620-09-7	CAS registry number
C12013	KEGG	103060-53-3	CAS registry number
C12016	KEGG	90039-80-8	CAS registry number
C12020	KEGG	205110-48-1	CAS registry number
C12021	KEGG	128595-42-6	CAS registry number
C12023	KEGG	13129-81-2	CAS registry number
C12023	KEGG	52340-48-4	CAS registry number
C12026	KEGG	146255-66-5	CAS registry number
C12029	KEGG	81135-57-1	CAS registry number
C12030	KEGG	1392-60-5	CAS registry number
C12032	KEGG	39868-96-7	CAS registry number
C12033	KEGG	2410-24-4	CAS registry number
C12034	KEGG	171099-57-3	CAS registry number
C12037	KEGG	69772-54-9	CAS registry number
C12039	KEGG	189453-10-9	CAS registry number
C12041	KEGG	8011-61-8	CAS registry number
C12042	KEGG	102577-03-7	CAS registry number
C12043	KEGG	24730-31-2	CAS registry number
C12044	KEGG	6998-60-3	CAS registry number
C12045	KEGG	66584-72-3	CAS registry number
C12046	KEGG	91032-26-7	CAS registry number
C12049	KEGG	81604-85-5	CAS registry number
C12050	KEGG	53024-98-9	CAS registry number
C12051	KEGG	67401-56-3	CAS registry number
C12053	KEGG	56377-79-8	CAS registry number
C12054	KEGG	1393-48-2	CAS registry number
C12056	KEGG	13434-13-4	CAS registry number
C12057	KEGG	147214-63-9	CAS registry number
C12058	KEGG	17397-89-6	CAS registry number
C12059	KEGG	3380-34-5	CAS registry number
C12063	KEGG	11089-65-9	CAS registry number
C12064	KEGG	102-29-4	CAS registry number
C12065	KEGG	55297-95-5	CAS registry number
C12066	KEGG	101312-92-9	CAS registry number
C12070	KEGG	11006-66-9	CAS registry number
C12075	KEGG	509-38-6	CAS registry number
C12077	KEGG	1945-53-5	CAS registry number
C12078	KEGG	1740-19-8	CAS registry number
C12080	KEGG	20004-62-0	CAS registry number
C12081	KEGG	55319-36-3	CAS registry number
C12085	KEGG	13709-27-8	CAS registry number
C12088	KEGG	3160-35-8	CAS registry number
C12091	KEGG	11005-70-2	CAS registry number
C12093	KEGG	28333-02-0	CAS registry number
C12098	KEGG	80111-47-3	CAS registry number
C12099	KEGG	61116-33-4	CAS registry number
C12100	KEGG	4277-62-7	CAS registry number
C12101	KEGG	636-82-8	CAS registry number
C12102	KEGG	104987-12-4	CAS registry number
C12104	KEGG	1460-16-8	CAS registry number
C12105	KEGG	89550-93-6	CAS registry number
C12107	KEGG	76045-71-1	CAS registry number
C12110	KEGG	87980-11-8	CAS registry number
C12111	KEGG	52665-74-4	CAS registry number
C12112	KEGG	37248-47-8	CAS registry number
C12115	KEGG	1571-72-8	CAS registry number
C12119	KEGG	23462-25-1	CAS registry number
C12127	KEGG	970-73-0	CAS registry number
C12134	KEGG	1156-78-1	CAS registry number
C12136	KEGG	970-74-1	CAS registry number
C12137	KEGG	18466-51-8	CAS registry number
C12138	KEGG	50986-17-9	CAS registry number
C12138	KEGG	6906-38-3	CAS registry number
C12139	KEGG	6988-81-4	CAS registry number
C12139	KEGG	71991-88-3	CAS registry number
C12140	KEGG	7228-78-6	CAS registry number
C12141	KEGG	68795-37-9	CAS registry number
C12143	KEGG	27918-14-5	CAS registry number
C12144	KEGG	554-62-1	CAS registry number
C12148	KEGG	91682-96-1	CAS registry number
C12152	KEGG	20283-69-6	CAS registry number
C12154	KEGG	152044-54-7	CAS registry number
C12155	KEGG	34786-70-4	CAS registry number
C12156	KEGG	62997-67-5	CAS registry number
C12158	KEGG	86934-09-0	CAS registry number
C12159	KEGG	86934-10-3	CAS registry number
C12160	KEGG	86934-11-4	CAS registry number
C12161	KEGG	86934-12-5	CAS registry number
C12163	KEGG	7363-25-9	CAS registry number
C12170	KEGG	2030-55-9	CAS registry number
C12174	KEGG	466-73-9	CAS registry number
C12176	KEGG	246255-43-6	CAS registry number
C12179	KEGG	507-79-9	CAS registry number
C12181	KEGG	1805-78-3	CAS registry number
C12182	KEGG	224-11-3	CAS registry number
C12187	KEGG	29429-03-6	CAS registry number
C12189	KEGG	2121-12-2	CAS registry number
C12190	KEGG	6879-81-8	CAS registry number
C12193	KEGG	510-69-0	CAS registry number
C12201	KEGG	37687-34-6	CAS registry number
C12201	KEGG	88588-10-7	CAS registry number
C12202	KEGG	52212-94-9	CAS registry number
C12203	KEGG	59862-14-5	CAS registry number
C12204	KEGG	249647-14-1	CAS registry number
C12205	KEGG	1782-47-4	CAS registry number
C12216	KEGG	26769-11-9	CAS registry number
C12217	KEGG	5683-74-9	CAS registry number
C12219	KEGG	95536-41-7	CAS registry number
C12220	KEGG	120243-02-9	CAS registry number
C12222	KEGG	548-30-1	CAS registry number
C12225	KEGG	28342-33-8	CAS registry number
C12226	KEGG	6900-99-8	CAS registry number
C12227	KEGG	34316-15-9	CAS registry number
C12242	KEGG	476-32-4	CAS registry number
C12246	KEGG	69239-55-0	CAS registry number
C12247	KEGG	53904-81-7	CAS registry number
C12249	KEGG	480-10-4	CAS registry number
C12257	KEGG	476-33-5	CAS registry number
C12266	KEGG	52229-90-0	CAS registry number
C12267	KEGG	76012-17-4	CAS registry number
C12268	KEGG	11140-67-3	CAS registry number
C12270	KEGG	3106-85-2	CAS registry number
C12277	KEGG	1305-62-0	CAS registry number
C12278	KEGG	527-09-3	CAS registry number
C12280	KEGG	140-03-4	CAS registry number
C12282	KEGG	9003-20-7	CAS registry number
C12284	KEGG	128-44-9	CAS registry number
C12285	KEGG	56038-13-2	CAS registry number
C12286	KEGG	127-41-3	CAS registry number
C12287	KEGG	79-77-6	CAS registry number
C12288	KEGG	122-40-7	CAS registry number
C12289	KEGG	659-70-1	CAS registry number
C12290	KEGG	108-64-5	CAS registry number
C12292	KEGG	106-32-1	CAS registry number
C12293	KEGG	110-45-2	CAS registry number
C12294	KEGG	105-86-2	CAS registry number
C12295	KEGG	105-85-1	CAS registry number
C12296	KEGG	123-92-2	CAS registry number
C12297	KEGG	622-45-7	CAS registry number
C12298	KEGG	150-84-5	CAS registry number
C12299	KEGG	103-54-8	CAS registry number
C12300	KEGG	80-26-2	CAS registry number
C12301	KEGG	10198-23-9	CAS registry number
C12302	KEGG	10235-63-9	CAS registry number
C12303	KEGG	103-45-7	CAS registry number
C12304	KEGG	123-86-4	CAS registry number
C12305	KEGG	119-36-8	CAS registry number
C12306	KEGG	2705-87-5	CAS registry number
C12307	KEGG	112-31-2	CAS registry number
C12314	KEGG	80816-54-2	CAS registry number
C12317	KEGG	24830-94-2	CAS registry number
C12323	KEGG	32462-30-9	CAS registry number
C12326	KEGG	6451-72-5	CAS registry number
C12327	KEGG	485-33-6	CAS registry number
C12328	KEGG	485-19-8	CAS registry number
C12336	KEGG	60142-17-8	CAS registry number
C12380	KEGG	121245-07-6	CAS registry number
C12381	KEGG	97218-42-3	CAS registry number
C12389	KEGG	18378-89-7	CAS registry number
C12393	KEGG	120796-24-9	CAS registry number
C12394	KEGG	35303-14-1	CAS registry number
C12395	KEGG	149633-99-8	CAS registry number
C12396	KEGG	7351-08-8	CAS registry number
C12397	KEGG	7414-92-8	CAS registry number
C12402	KEGG	28399-50-0	CAS registry number
C12406	KEGG	104542-46-3	CAS registry number
C12411	KEGG	104562-12-1	CAS registry number
C12412	KEGG	26055-63-0	CAS registry number
C12419	KEGG	78173-89-4	CAS registry number
C12421	KEGG	91432-47-2	CAS registry number
C12423	KEGG	116235-59-7	CAS registry number
C12424	KEGG	16234-96-1	CAS registry number
C12425	KEGG	21288-60-8	CAS registry number
C12427	KEGG	97583-07-8	CAS registry number
C12428	KEGG	76034-18-9	CAS registry number
C12429	KEGG	79466-09-4	CAS registry number
C12430	KEGG	28008-55-1	CAS registry number
C12431	KEGG	62182-86-9	CAS registry number
C12432	KEGG	39472-31-6	CAS registry number
C12437	KEGG	60227-09-0	CAS registry number
C12440	KEGG	526-64-7	CAS registry number
C12448	KEGG	7143-09-1	CAS registry number
C12452	KEGG	3423-27-6	CAS registry number
C12453	KEGG	3423-26-5	CAS registry number
C12471	KEGG	114515-20-7	CAS registry number
C12486	KEGG	10043-35-3	CAS registry number
C12490	KEGG	101827-46-7	CAS registry number
C12491	KEGG	1018-71-9	CAS registry number
C12508	KEGG	105816-04-4	CAS registry number
C12512	KEGG	107724-20-9	CAS registry number
C12518	KEGG	111-30-8	CAS registry number
C12525	KEGG	571-20-0	CAS registry number
C12531	KEGG	118292-40-3	CAS registry number
C12540	KEGG	1220-83-3	CAS registry number
C12552	KEGG	126-27-2	CAS registry number
C12554	KEGG	127-08-2	CAS registry number
C12557	KEGG	123171-59-5	CAS registry number
C12560	KEGG	149845-06-7	CAS registry number
C12564	KEGG	129722-12-9	CAS registry number
C12567	KEGG	1309-48-4	CAS registry number
C12568	KEGG	1310-58-3	CAS registry number
C12569	KEGG	1310-73-2	CAS registry number
C12574	KEGG	132-20-7	CAS registry number
C12590	KEGG	90-49-3	CAS registry number
C12599	KEGG	143491-57-0	CAS registry number
C12600	KEGG	143-74-8	CAS registry number
C12603	KEGG	144-55-8	CAS registry number
C12609	KEGG	1476-53-5	CAS registry number
C12616	KEGG	152-47-6	CAS registry number
C12621	KEGG	588-30-7	CAS registry number
C12625	KEGG	34232-17-2	CAS registry number
C12627	KEGG	17306-46-6	CAS registry number
C12628	KEGG	64820-99-1	CAS registry number
C12629	KEGG	64821-00-7	CAS registry number
C12630	KEGG	25694-72-8	CAS registry number
C12634	KEGG	19895-95-5	CAS registry number
C12635	KEGG	80714-53-0	CAS registry number
C12636	KEGG	370883-67-3	CAS registry number
C12638	KEGG	96862-01-0	CAS registry number
C12639	KEGG	491-50-9	CAS registry number
C12640	KEGG	168753-26-2	CAS registry number
C12641	KEGG	168753-27-3	CAS registry number
C12642	KEGG	165070-68-8	CAS registry number
C12643	KEGG	171828-62-9	CAS registry number
C12645	KEGG	202338-79-2	CAS registry number
C12646	KEGG	135558-26-8	CAS registry number
C12649	KEGG	5949-29-1	CAS registry number
C12650	KEGG	154361-50-9	CAS registry number
C12656	KEGG	1597-82-6	CAS registry number
C12661	KEGG	16816-67-4	CAS registry number
C12662	KEGG	16846-24-5	CAS registry number
C12666	KEGG	1715-33-9	CAS registry number
C12667	KEGG	18609-17-1	CAS registry number
C12668	KEGG	38681-85-5	CAS registry number
C12673	KEGG	17902-23-7	CAS registry number
C12675	KEGG	1824-50-6	CAS registry number
C12677	KEGG	1837-57-6	CAS registry number
C12679	KEGG	633-65-8	CAS registry number
C12685	KEGG	2259-96-3	CAS registry number
C12691	KEGG	23239-41-0	CAS registry number
C12712	KEGG	26605-69-6	CAS registry number
C12717	KEGG	2740-04-7	CAS registry number
C12724	KEGG	297-76-7	CAS registry number
C12739	KEGG	3094-09-5	CAS registry number
C12750	KEGG	3286-46-2	CAS registry number
C12753	KEGG	2751-09-9	CAS registry number
C12755	KEGG	29216-28-2	CAS registry number
C12766	KEGG	3485-14-1	CAS registry number
C12767	KEGG	350-12-9	CAS registry number
C12768	KEGG	35035-05-3	CAS registry number
C12796	KEGG	1264-62-6	CAS registry number
C12798	KEGG	56776-01-3	CAS registry number
C12811	KEGG	432-60-0	CAS registry number
C12819	KEGG	487-79-6	CAS registry number
C12829	KEGG	496-67-3	CAS registry number
C12831	KEGG	32139-72-3	CAS registry number
C12842	KEGG	1882-26-4	CAS registry number
C12849	KEGG	98-67-9	CAS registry number
C12853	KEGG	15318-45-3	CAS registry number
C12859	KEGG	979-32-8	CAS registry number
C12862	KEGG	95734-82-0	CAS registry number
C12864	KEGG	94497-51-5	CAS registry number
C12865	KEGG	94-44-0	CAS registry number
C12869	KEGG	94055-75-1	CAS registry number
C12871	KEGG	192725-17-0	CAS registry number
C12886	KEGG	2192-21-4	CAS registry number
C12888	KEGG	2203-97-6	CAS registry number
C12889	KEGG	2259-85-0	CAS registry number
C12891	KEGG	24916-51-6	CAS registry number
C12893	KEGG	546-93-0	CAS registry number
C12896	KEGG	100482-23-3	CAS registry number
C12905	KEGG	19504-77-9	CAS registry number
C12915	KEGG	75272-39-8	CAS registry number
C12919	KEGG	57333-96-7	CAS registry number
C12933	KEGG	26657-13-6	CAS registry number
C12937	KEGG	28058-62-0	CAS registry number
C12942	KEGG	30525-89-4	CAS registry number
C12946	KEGG	32838-28-1	CAS registry number
C12948	KEGG	32891-29-5	CAS registry number
C12954	KEGG	20153-98-4	CAS registry number
C12958	KEGG	3738-06-5	CAS registry number
C12959	KEGG	3759-07-7	CAS registry number
C12962	KEGG	39515-40-7	CAS registry number
C12967	KEGG	40516-48-1	CAS registry number
C12978	KEGG	516-95-0	CAS registry number
C12979	KEGG	51762-05-1	CAS registry number
C12981	KEGG	51898-34-1	CAS registry number
C13008	KEGG	89-25-8	CAS registry number
C13014	KEGG	86-87-3	CAS registry number
C13016	KEGG	86832-68-0	CAS registry number
C13024	KEGG	85287-61-2	CAS registry number
C13031	KEGG	52205-73-9	CAS registry number
C13037	KEGG	52-76-6	CAS registry number
C13038	KEGG	530-78-9	CAS registry number
C13044	KEGG	538-23-8	CAS registry number
C13048	KEGG	546-71-4	CAS registry number
C13050	KEGG	119340-53-3	CAS registry number
C13051	KEGG	5502-96-5	CAS registry number
C13058	KEGG	21059-46-1	CAS registry number
C13061	KEGG	21312-10-7	CAS registry number
C13072	KEGG	10040-45-6	CAS registry number
C13074	KEGG	178234-32-7	CAS registry number
C13077	KEGG	113-38-2	CAS registry number
C13085	KEGG	14984-34-0	CAS registry number
C13086	KEGG	12758-40-6	CAS registry number
C13089	KEGG	111696-23-2	CAS registry number
C13101	KEGG	5635-50-7	CAS registry number
C13102	KEGG	1304-85-4	CAS registry number
C13103	KEGG	22875-15-6	CAS registry number
C13104	KEGG	14641-21-5	CAS registry number
C13106	KEGG	122795-43-1	CAS registry number
C13109	KEGG	2870-71-5	CAS registry number
C13110	KEGG	1245-44-9	CAS registry number
C13112	KEGG	10212-25-6	CAS registry number
C13127	KEGG	56741-95-8	CAS registry number
C13129	KEGG	83105-70-8	CAS registry number
C13138	KEGG	13912-80-6	CAS registry number
C13140	KEGG	1305-78-8	CAS registry number
C13142	KEGG	141195-77-9	CAS registry number
C13143	KEGG	104010-37-9	CAS registry number
C13144	KEGG	78712-43-3	CAS registry number
C13154	KEGG	81-23-2	CAS registry number
C13156	KEGG	37339-90-5	CAS registry number
C13167	KEGG	14271-05-7	CAS registry number
C13168	KEGG	24730-10-7	CAS registry number
C13173	KEGG	80214-83-1	CAS registry number
C13179	KEGG	79660-72-3	CAS registry number
C13182	KEGG	78718-25-9	CAS registry number
C13183	KEGG	7585-39-9	CAS registry number
C13189	KEGG	7789-41-5	CAS registry number
C13192	KEGG	7778-80-5	CAS registry number
C13194	KEGG	7778-18-9	CAS registry number
C13197	KEGG	7758-11-4	CAS registry number
C13198	KEGG	7758-02-3	CAS registry number
C13199	KEGG	7757-82-6	CAS registry number
C13235	KEGG	59828-07-8	CAS registry number
C13240	KEGG	60-29-7	CAS registry number
C13254	KEGG	6153-33-9	CAS registry number
C13269	KEGG	63358-49-6	CAS registry number
C13280	KEGG	65141-46-0	CAS registry number
C13297	KEGG	6809-52-5	CAS registry number
C13299	KEGG	6834-98-6	CAS registry number
C13310	KEGG	122547-49-3	CAS registry number
C13311	KEGG	110958-19-5	CAS registry number
C13326	KEGG	145525-41-3	CAS registry number
C13334	KEGG	147511-69-1	CAS registry number
C13342	KEGG	70-70-2	CAS registry number
C13355	KEGG	72432-10-1	CAS registry number
C13358	KEGG	72590-77-3	CAS registry number
C13373	KEGG	7440-63-3	CAS registry number
C13376	KEGG	74849-93-7	CAS registry number
C13377	KEGG	7487-94-7	CAS registry number
C13391	KEGG	21645-51-2	CAS registry number
C13392	KEGG	275-51-4	CAS registry number
C13400	KEGG	53664-49-6	CAS registry number
C13403	KEGG	8000-95-1	CAS registry number
C13414	KEGG	97683-31-3	CAS registry number
C13415	KEGG	25154-80-7	CAS registry number
C13416	KEGG	16680-47-0	CAS registry number
C13422	KEGG	3593-96-2	CAS registry number
C13424	KEGG	263248-42-6	CAS registry number
C13426	KEGG	123748-56-1	CAS registry number
C13427	KEGG	13463-41-7	CAS registry number
C13429	KEGG	8064-12-8	CAS registry number
C13431	KEGG	14660-91-4	CAS registry number
C13440	KEGG	3577-01-3	CAS registry number
C13441	KEGG	3735-84-0	CAS registry number
C13450	KEGG	12698-99-6	CAS registry number
C13451	KEGG	12699-00-2	CAS registry number
C13453	KEGG	8066-07-7	CAS registry number
C13478	KEGG	187164-19-8	CAS registry number
C13493	KEGG	3055-99-0	CAS registry number
C13500	KEGG	37280-56-1	CAS registry number
C13503	KEGG	298-83-9	CAS registry number
C13503	KEGG	38184-50-8	CAS registry number
C13505	KEGG	52152-93-9	CAS registry number
C13511	KEGG	38658-53-6	CAS registry number
C13515	KEGG	1310-82-3	CAS registry number
C13522	KEGG	488-41-5	CAS registry number
C13523	KEGG	1393-25-5	CAS registry number
C13524	KEGG	51888-09-6	CAS registry number
C13526	KEGG	128-57-4	CAS registry number
C13534	KEGG	5985-55-7	CAS registry number
C13540	KEGG	5352-90-9	CAS registry number
C13542	KEGG	81025-03-8	CAS registry number
C13546	KEGG	119615-63-3	CAS registry number
C13547	KEGG	56897-09-7	CAS registry number
C13548	KEGG	55648-20-9	CAS registry number
C13550	KEGG	474-73-7	CAS registry number
C13553	KEGG	8068-28-8	CAS registry number
C13554	KEGG	118244-45-4	CAS registry number
C13556	KEGG	7758-23-8	CAS registry number
C13558	KEGG	7558-79-4	CAS registry number
C13569	KEGG	7059-24-7	CAS registry number
C13587	KEGG	91032-34-7	CAS registry number
C13588	KEGG	91032-36-9	CAS registry number
C13591	KEGG	36592-77-5	CAS registry number
C13610	KEGG	91032-37-0	CAS registry number
C13612	KEGG	91032-38-1	CAS registry number
C13613	KEGG	93616-27-4	CAS registry number
C13620	KEGG	79-94-7	CAS registry number
C13621	KEGG	6386-73-8	CAS registry number
C13622	KEGG	29426-78-6	CAS registry number
C13623	KEGG	6073-11-6	CAS registry number
C13624	KEGG	80-05-7	CAS registry number
C13625	KEGG	13464-24-9	CAS registry number
C13626	KEGG	79371-66-7	CAS registry number
C13628	KEGG	163405-36-5	CAS registry number
C13629	KEGG	154928-56-0	CAS registry number
C13630	KEGG	5725-91-7	CAS registry number
C13631	KEGG	142648-65-5	CAS registry number
C13632	KEGG	72108-22-6	CAS registry number
C13633	KEGG	92549-67-2	CAS registry number
C13634	KEGG	139755-03-6	CAS registry number
C13635	KEGG	5706-85-4	CAS registry number
C13636	KEGG	3233-32-7	CAS registry number
C13637	KEGG	123-07-9	CAS registry number
C13638	KEGG	2380-91-8	CAS registry number
C13645	KEGG	10035-10-6	CAS registry number
C13646	KEGG	48144-44-1	CAS registry number
C13650	KEGG	1131-64-2	CAS registry number
C13651	KEGG	28270-04-4	CAS registry number
C13652	KEGG	69-52-3	CAS registry number
C13662	KEGG	113-79-1	CAS registry number
C13664	KEGG	487-91-2	CAS registry number
C13666	KEGG	89565-68-4	CAS registry number
C13667	KEGG	118876-58-7	CAS registry number
C13668	KEGG	115066-14-3	CAS registry number
C13670	KEGG	161832-65-1	CAS registry number
C13672	KEGG	77521-29-0	CAS registry number
C13674	KEGG	122306-11-0	CAS registry number
C13677	KEGG	40748-21-8	CAS registry number
C13678	KEGG	17804-54-5	CAS registry number
C13680	KEGG	78697-56-0	CAS registry number
C13681	KEGG	24564-52-1	CAS registry number
C13682	KEGG	23255-54-1	CAS registry number
C13683	KEGG	34272-51-0	CAS registry number
C13684	KEGG	21462-39-5	CAS registry number
C13687	KEGG	20110-36-5	CAS registry number
C13690	KEGG	51317-41-0	CAS registry number
C13691	KEGG	38339-02-5	CAS registry number
C13692	KEGG	54-95-5	CAS registry number
C13693	KEGG	64603-91-4	CAS registry number
C13694	KEGG	64603-90-3	CAS registry number
C13695	KEGG	92138-10-8	CAS registry number
C13696	KEGG	57376-72-4	CAS registry number
C13697	KEGG	91-40-7	CAS registry number
C13698	KEGG	4394-00-7	CAS registry number
C13699	KEGG	723-62-6	CAS registry number
C13700	KEGG	882-09-7	CAS registry number
C13701	KEGG	3307-39-9	CAS registry number
C13702	KEGG	27816-59-7	CAS registry number
C13703	KEGG	54197-31-8	CAS registry number
C13705	KEGG	107254-86-4	CAS registry number
C13707	KEGG	136790-76-6	CAS registry number
C13709	KEGG	102146-07-6	CAS registry number
C13710	KEGG	132033-91-1	CAS registry number
C13712	KEGG	516-54-1	CAS registry number
C13713	KEGG	567-02-2	CAS registry number
C13714	KEGG	31004-76-9	CAS registry number
C13715	KEGG	27210-57-7	CAS registry number
C13717	KEGG	50598-34-0	CAS registry number
C13718	KEGG	60-57-1	CAS registry number
C13719	KEGG	31430-18-9	CAS registry number
C13720	KEGG	103620-92-4	CAS registry number
C13721	KEGG	14568-16-2	CAS registry number
C13722	KEGG	149091-93-0	CAS registry number
C13724	KEGG	25191-25-7	CAS registry number
C13725	KEGG	129-17-9	CAS registry number
C13727	KEGG	149091-92-9	CAS registry number
C13728	KEGG	504-24-5	CAS registry number
C13729	KEGG	85371-64-8	CAS registry number
C13732	KEGG	14277-97-5	CAS registry number
C13734	KEGG	76326-31-3	CAS registry number
C13735	KEGG	110347-85-8	CAS registry number
C13736	KEGG	19982-08-2	CAS registry number
C13737	KEGG	77086-21-6	CAS registry number
C13738	KEGG	138199-51-6	CAS registry number
C13744	KEGG	81790-82-1	CAS registry number
C13745	KEGG	149017-66-3	CAS registry number
C13746	KEGG	12236-82-7	CAS registry number
C13747	KEGG	611-59-6	CAS registry number
C13748	KEGG	123363-40-6	CAS registry number
C13749	KEGG	73384-60-8	CAS registry number
C13750	KEGG	23509-16-2	CAS registry number
C13751	KEGG	2898-76-2	CAS registry number
C13752	KEGG	2038-35-9	CAS registry number
C13753	KEGG	1144-27-0	CAS registry number
C13756	KEGG	13412-64-1	CAS registry number
C13757	KEGG	35523-89-8	CAS registry number
C13758	KEGG	71145-03-4	CAS registry number
C13759	KEGG	120934-96-5	CAS registry number
C13760	KEGG	59946-73-5	CAS registry number
